Item,P/N,ION Footprint,Qty,Unit,,Type,Rev,Stat,Title,Detail,Mfr P/N,Reference(m),Reference(t),Mfr Name
1,514981-0001ER,,1,each,,DWG,E,U,"PWB,CONCERTO DIMM - Release 2.0",SUBA,,,,
2,514982-0001,,1,each,,DOC,D,U,"LOGIC,CONCERTO DIMM - ( SONATA )",SCH,,,,
3,103671-0001R,so8-25x75,1,each,,PS,,U,"IC,SO8,SERIAL EEPROM,2KBIT,3MHZ",MATL,93LC56C-I/SN,U16,,"Microchip Technology, Inc."
4,102235-0001R,so8-25x75-295,1,each,,PS,,U,"IC,SO8,SERIAL EEPROM,256K-BIT",MATL,CAT24C256WI-GT3,U57,,"Catalyst Semiconductor, Inc."
5,103676-0001R,qfp144-12x70-rfp-slug,1,each,,PS,,U,"IC,QFP144,MICROCONTROLLER,F28M35,MAY 16,2011",MATL,X320F28M35H52C1RFPT,U32,,Texas Instruments
7,103246-0001R,qfn32_5x5,1,each,,PS,,U,"IC,QFN32,10/100 ETHERNET TRANSCEIVER",MATL,LAN8710AI-EZK,U17,,SMSC
8,103172-0001R,PQFP64PM,1,each,,PS,,U,"IC,QFP64,DUAL USB UART",MATL,FT2232HL,U15,,Future Technology Devices International Limited
10,103669-0001R,dbv5-27x39,1,each,,PS,,U,"IC,DBV5,POWER-DISTRIBUTION SWITCH,500mA,ACTIVE HIGH",MATL,TPS2051BDBVR,U24,,Texas Instruments
11,103670-0001R,dbv6-27x39-6,1,each,,PS,,U,"IC,DBV6,DUAL BUFFER/DRIVER WITH OPEN-DRAIN OUTPUTS",MATL,SN74LVC2G07DBVR,U29,,Texas Instruments
12,102728-0001R,drl5-12x40,1,each,,PS,,U,"IC,SMT,ESD PROTECTION ARRAY,2-CHANNEL,15-kV",MATL,TPD2E001DRLR,U18,,Texas Instruments
13,103395-0033R,dbv5-27x39,1,each,,PS,,U,"IC,SO5,LINEAR REGULATOR,200mA,3.3V",MATL,TPS73033DBVT,U6,,Texas Instruments
15,103674-0025R,so8-25x75,5,each,,PS,,U,"IC,SO8,DUAL DIGITAL ISOLATORS,25 Mbps",MATL,ISO7220CD,"U19, U20, U21, U22, U40",,Texas Instruments
16,101715-0001R,DBV6-27X39-6,3,each,,PS,,U,"IC,TSOP6,DIODE ARRAY,TRANSIENT VOLTAGE SUPPRESSOR",MATL,NUP4201MR6T1G,"U28, U30, U31",,ON Semiconductor
17,103687-0001R,pw14-12x70,1,each,,PS,,U,"IC,TSSOP14,QUAD 2-INPUT POSITIVE NAND GATE",MATL,SN74HC03PWR,U59,,Texas Instruments
18,103672-0033R,drv6-12x30,1,each,,PS,,U,"IC,SO6,STEP DOWN CONVERTER,1A,3.3V",MATL,TPS62291DRVT,U60,,Texas Instruments
20,103684-0001R,SC-75,1,each,,PS,,U,"TRANSISTOR,SMT,N-CHANNEL,MOSFET,30V",MATL,SSM3K15FST5LFT,U23,,Toshiba
25,103274-0025R,xtal4-47x51-ecx32,1,each,,PS,,U,"CRYSTAL,SMT,4 PIN,25MHz",MATL,ECS-250-20-33-TR,X3,,ECS
26,103560-0012R,xtal4-63x50-ecx53b,1,each,,PS,,U,"CRYSTAL,SMT,4 PIN,12MHz,20pF",MATL,ECS-120-20-30B-TR,X4,,ECS
28,103104-0020R,xtal4-abm3b,1,each,,PS,,U,"CRYSTAL,SMT,20 MHZ",MATL,ABM3B-20.000MHZ-10-1-U-T,X2,,Abracon
30,103677-0001R,powermite-case457-04,3,each,,PS,,U,"DIODE,DO216,SCHOTTKY POWER,1A",MATL,MBRM110ET1G,"D1, D5, D6",,ON Semiconductor
35,102747-0220R,ind_vlcf,1,each,,PS,,U,"INDUCTOR,SMT,2.2uH,+/-30%",MATL,VLCF4020T-2R2N1R7,L33,,TDK Corporation
36,101228-2201R,l805-35x60,2,each,,PS,,U,"FERRITE BEAD,SMT 0805,220 OHMS",MATL,BLM21PG221SN1D,"L32, L43",,Murata Electronics
37,103668-6000R,l805-35x60,19,each,,PS,,U,"FERRITE BEAD,SMT 0805,60 OHMS",MATL,BKP2125HS600-T,"L20, L23, L24, L25, L26, L27, L28, L29, L30, L31, L34, L35, L36, L37, L38, L39, L40, L41, L42",,Taiyo Yuden
38,101239-6001R,l0805-35x60,2,each,,PS,,U,"FERRITE BEAD,SMT 0805,600 OHMS",MATL,HZ0805E601R-10,"L21, L22",,Steward
45,103673-0001R,led2-47sq,2,each,,PS,,U,"LED,SMT 0805,BLUE",MATL,LTST-C170TBKT,"LD5, LD6",,LITEON
46,103683-0001R,led2-47sq,2,each,,PS,,U,"LED,SMT 0805,GREEN",MATL,PG1112H-TR,"LD1, LD4",,Stanley Electric Company
47,103683-0002R,led2-47sq,2,each,,PS,,U,"LED,SMT 0805,RED",MATL,BR1112H-TR,"LD2, LD3",,Stanley Electric Company
49,103832-1100R,C2220-60X230,1,each,,PS,,U,"CAP,CER,SMT 2220,.1uF,1kV,10%,X7R",MATL,GRM55DR73A104KW01L,C276,,Murata Electronics
50,102359-0681R,c1206-40x70p,1,each,,PS,,U,"CAP,TANT,SMT 1206,68uF,10V,+/-20%",MATL,TLJA686M010R1500,C202,,AVX Corporation
51,103685-0471R,c805-35x60-pol,1,each,,PS,,U,"CAP,TANT,SMT 0805,47uF,10V,20%",MATL,298D476X0010P2T,C35,,Vishay Intertechnology
52,102824-0101R,C1206-40X70,1,each,,PS,,U,"CAP,CER,SMT 1206,10uF,16V,X5R",MATL,GRM31CR61C106KC31L,C115,,Murata Electronics
56,102895-0101R,c805-35x60,5,each,,PS,,U,"CAP,CER,SMT 0805,10uF,16V,X5R,+/-10%",MATL,EMK212BJ106KG-T,"C109, C254, C36, C38, C41",,Taiyo Yuden
57,102482-1332R,c603-35x45,12,each,,PS,,U,"CAP,CER,SMT 0603,3300pF,100V,+/-10%,X7R",MATL,GRM188R72A332KA01D,"C100, C104, C110, C117, C79, C85, C91, C92, C93, C94, C96, C99",,Murata Electronics
58,102965-0220R,c603-35x45,25,each,,PS,,U,"CAP,CER,SMT 0603,2.2uF,10V,+/-10%,X7R",MATL,GRM188R71A225KE15D,"C101, C106, C112, C113, C114, C116, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C78, C83, C86, C87, C88, C89, C90, C97, C98",,Murata Electronics
59,102963-0101R,c603-35x45,1,each,,PS,,U,"CAP,CER,SMT 0603,10uF,6.3V,X5R,+/-20%",MATL,GRM188R60J106ME,C32,,Murata Electronics
65,103649-0470R,c402-25,3,each,,PS,,U,"CAP,CER,SMT 0402,4.7uF,6.3V,+/-20%,X5R",MATL,GRM155R60J475ME87D,"C46, C56, C66",,Murata Electronics
66,101782-1334R,c402-25,2,each,,PS,,U,"CAP,CER,SMT 0402,33pF,50V,+/-5%,NPO",MATL,C0402C330J5GAC,"C39, C40",,Kemet Electronics Corporation
67,101782-1274R,c402-25,2,each,,PS,,U,"CAP,CER,SMT 0402,27pF,50V,+/-5%,NPO",MATL,C0402C270J5GACTU,"C61, C62",,Kemet Electronics Corporation
69,102756-1154R,c402-25,2,each,,PS,,U,"CAP,CER,SMT 0402,15pF,50V,+/-5%,C0G",MATL,GRM1555C1H150JZ01D,"C264, C265",,Murata Electronics
70,102962-1470R,c402-25,9,each,,PS,,U,"CAP,CER,SMT 0402,.47uF,6.3V,+/-10%,X5R",MATL,GRM155R60J474KE19D,"C102, C103, C105, C108, C43, C80, C81, C82, C84",,Murata Electronics
71,101587-1100R,c402-25,34,each,,PS,,U,"CAP,CER,SMT 0402,.1uF,10V,+/-10%,X5R",MATL,C0402C104K8PACTU,"C111, C206, C207, C208, C209, C213, C244, C245, C247, C249, C250, C252, C263, C33, C47, C5, C55, C57, C58, C59, C60, C63, C64, C65, C67, C68, C69, C70, C72, C73, C74, C75, C76, C77",,Kemet Electronics Corporation
72,101587-1101R,c402-25,1,each,,PS,,U,"CAP,CER,SMT 0402,.01uF,16V,+/-10%,X7R",MATL,C0402C103K4RAC,C34,,Kemet Electronics Corporation
80,101069-5600R,rpak16-10x25-2hv,2,each,,PS,,U,"RES,NETWORK,SMT,16 PIN,8 RES,56 OHM,5%,1/16 WATT",MATL,EXB-2HV560JV,"RN3, RN4",,Panasonic
85,101370-0001R,r402-25,21,each,,PS,,U,"RES,SMT 0402,0 OHM,1/16 WATT",MATL,RC0402JR-070RL,"R1, R223, R224, R23, R25, R3, R321, R35, R38, R4, R48, R49, R50, R51, R52, R53, R54, R55, R56, R77, R96",,Yageo
86,101370-1000R,r402-25,2,each,,PS,,U,"RES,SMT 0402,10 OHM,5%,1/16 WATT",MATL,RC0402JR-0710RL,"R254, R266",,Yageo
87,101370-1003R,r402-25,16,each,,PS,,U,"RES,SMT 0402,10K,5%,1/16 WATT",MATL,RC0402JR-0710KL,"R225, R226, R227, R236, R237, R238, R239, R241, R242, R243, R244, R72, R75, R76, R79, R91",,Yageo
88,101370-1002R,r402-25,5,each,,PS,,U,"RES,SMT 0402,1K,5%,1/16 WATT",MATL,RC0402JR-071KL,"R24, R309, R81, R82, R84",,Yageo
89,101370-1004R,r402-25,1,each,,PS,,U,"RES,SMT 0402,100K,5%,1/16 WATT",MATL,RC0402JR-07100KL,R240,,Yageo
91,101370-3301R,r402-25,2,each,,PS,,U,"RES,SMT 0402,330 OHM,5%,1/16 WATT",MATL,RC0402JR-07330RL,"R305, R306",,Yageo
93,101370-6801R,r402-25,4,each,,PS,,U,"RES,SMT 0402,680 OHM,5%,1/16 WATT",MATL,RC0402JR-07680RL,"R28, R31, R39, R8",,Yageo
100,102145-2212R,r402-25,18,each,,PS,,U,"RES,SMT 0402,2.21K,1%,1/16 WATT",MATL,ERJ-2RKF2211X,"R232, R233, R248, R26, R29, R316, R317, R318, R319, R57, R59, R60, R61, R62, R63, R64, R65, R78",,Panasonic
103,102145-4990R,r402-25,13,each,,PS,,U,"RES,SMT 0402,49.9 OHM,1%,1/16 WATT",MATL,ERJ-2RKF49R9X,"R249, R252, R256, R261, R295, R296, R297, R298, R299, R300, R301, R302, R303",,Panasonic
104,102145-5763R,r402-25,4,each,,PS,,U,"RES,SMT 0402,57.6K,1%,1/16 WATT",MATL,ERJ-2RKF5762X,"R312, R313, R314, R315",,Panasonic
110,100687-0001R,r603-35X45,7,each,,PS,,U,"RES,SMT 0603,0 OHM,1/16 WATT",MATL,ERJ-3GEY0R00V,"R30, R32, R33, R34, R36, R37, R87",,Panasonic
111,100687-1004R,r603-35X45,4,each,,PS,,U,"RES,SMT 0603,100K OHM,5%,1/16 WATT",MATL,RC0603JR-07100KL,"R228, R229, R230, R231",,Yageo
113,100552-0001R,r805-35x60,1,each,,PS,,U,"RES,SMT 0805,0 OHM,1/10 WATT",MATL,ERJ-6GEY0R00V,R9,,Panasonic
116,102145-1213R,r402-25,1,each,,PS,,U,"RES,SMT 0402,12.1K OHM,1%,1/16 WATT",MATL,ERJ-2RKF1212X,R104,,Panasonic
119,102145-4992R,r402-25,4,each,,PS,,U,"RES,SMT 0402,4.99K,1%,1/16 WATT",MATL,ERJ-2RKF4991X,"R102, R103, R234, R235",,Panasonic
130,101184-0004R,sw4-30x50-tda,1,each,,PS,,U,"SWITCH,DIP,SMT,HALF-PITCH,4 POS.",MATL,TDA04H0SB1R,SW1,,"C&K/Unimax, Inc."
131,101184-0002R,sw2-30x50-tda,1,each,,PS,,U,"SWITCH,DIP,SMT,HALF-PITCH,2 POS.",MATL,TDA02H0SB1R,SW3,,"C&K/Unimax, Inc."
132,103681-0002R,sw3-40x60-d20a,1,each,,PS,,U,"SWITCH,SMT,SLIDE,2 POSITION,J-HOOK",MATL,CAS-D20TA,SW2,,Copal Electronics
140,103679-0001R,sd-micro-3M-2900,1,each,,PS,,U,"CONN,SMT,RECEPTACLE,MICROSD",MATL,2908-05WB-MG,J4,,3M Electronic Products Division
141,101677-0001R,SAMTEC-MUSB,1,each,,PS,,U,"CONN,SMT,RECEPTACLE,5 POS,RIGHT ANGLE,MINI USB,TYPE B",MATL,MUSB-05-S-B-SM-A-K-TR,J20,,"Samtec, Inc."
142,102836-0001R,usb-top-microB,1,each,,PS,,U,"CONN,SMT,RECEPTACLE,5 POS,RIGHT ANGLE,MICRO USB,TYPE AB",MATL,ZX62-AB-5PA(11),J2,,"Hirose Electric, Inc."
144,102943-0001R,rj45-pulse_J0,1,each,,PS,,U,"CONN,JACK,RJ45,INTEGRATED MAGNETICS AND LED'S,8 CONTACTS,SHIELDED",MATL,J0011D01BNL,J5,,Pulse Engineering
149,100546-0002R,jump1x2-5635-2mm,1,each,,PL,,U,"HEADER,2 X 1,VERTICAL,2mm",SUBA,M22-2510205,J21,,Harwin
150,100546-0003R,hdr1x3-6040-2mm,1,each,,PL,,U,"HEADER,3 X 1,VERTICAL,2mm",SUBA,M22-2510305,J6,,Harwin
151,100546-0006R,hdr1x6-6040-2mm,3,each,,PL,,U,"HEADER,6 X 1,VERTICAL,2mm",SUBA,,"J11, J15, J19",,
152,100546-0010R,hdr1x10-6040-2mm,9,each,,PL,,U,"HEADER,10 X 1,VERTICAL,2mm",SUBA,,"J10, J12, J13, J14, J16, J17, J18, J8, J9",,
155,R0402-NOPOP,r402-25,24,each,,PS,,U,,NP,,"R0, R101, R105, R2, R255, R257, R259, R262, R304, R307, R308, R310, R311, R5, R58, R6, R7, R73, R74, R83, R90, R94, R95, R98",,
160,R0603-NOPOP,r603-35X45,9,each,,PS,,U,,NP,,"R27, R40, R41, R42, R43, R44, R45, R46, R97",,
162,C0603-NOPOP,c603-35x45,1,each,,PS,,U,,NP,,C107,,
163,C1206-NOPOP,C1206-40X70,1,each,,PS,,U,,NP,,C200,,
165,TP-30RD13-NO-POP,tp-30RD13,10,each,,PS,,U,,NP,,"M1, M10, M2, M3, M4, M5, M6, M7, M8, M9",,
170,TP-NO-POP,tp1-6040,18,each,,PS,,U,,NP,,"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP4, TP5, TP6, TP7, TP8, TP9",,
175,NO-POP,,1,each,,PS,,U,,NP,,P3,,
